"Time","Automobiles, Acura, All Models, All Vehicle Years, #","Automobiles, Alfa Romeo, All Models, All Vehicle Years, #","Automobiles, AM General, All Models, All Vehicle Years, #","Automobiles, American Motors, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, Austin/Austin Healey, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Brockway, All Models, All Vehicle Years, #","Automobiles, BSA, All Models, All Vehicle Years, #","Automobiles, Buick/Opel, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Chrysler, All Models, All Vehicle Years, #","Automobiles, Daewoo, All Models, All Vehicle Years, #","Automobiles, Datsun/Nissan, All Models, All Vehicle Years, #","Automobiles, Diahatsu, All Models, All Vehicle Years, #","Automobiles, Diamond Reo/Reo, All Models, All Vehicle Years, #","Automobiles, Dodge, All Models, All Vehicle Years, #","Automobiles, Eagle, All Models, All Vehicle Years, #","Automobiles, Fiat, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Freightliner, All Models, All Vehicle Years, #","Automobiles, FWD, All Models, All Vehicle Years, #","Automobiles, GMC, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Imperial, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Motorcycles, American Motors, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, BSA, All Models, All Vehicle Years, #","Motorcycles, Ducati, All Models, All Vehicle Years, #","Motorcycles, Harley-Davidson, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"04/1983",,,,118,4,,24,2,4,358,106,1798,86,2,292,2,2,348,,16,1530,48,2,154,312,,2,2,,,,,,
"05/1983",,2,4,134,16,4,24,,4,330,112,1884,106,,314,,4,412,,14,1608,64,,236,410,,,,,,,,,
"06/1983",,4,,98,8,2,28,4,10,328,110,1908,136,,324,2,4,432,,30,1686,72,,222,426,,,,,,,,,
"07/1983",,,6,134,16,,32,2,22,352,126,2150,120,2,290,,4,448,,18,1814,94,,276,562,,,2,,,,,,
"08/1983",,,2,104,26,,22,6,18,354,112,2150,102,,366,4,4,450,,28,1802,86,,248,550,,,4,,,,,,
"09/1983",,2,2,110,16,2,26,,12,380,144,2018,134,10,300,4,4,434,,22,1730,66,,264,464,,4,6,,,,,,
"10/1983",,4,2,122,24,,18,,6,450,168,2262,116,2,312,,4,514,,26,1704,82,,270,368,,,4,,,,,,
"11/1983",,4,,96,26,2,16,,2,388,144,1992,114,,316,2,,410,,28,1740,84,,286,230,,,2,,,,,,
"12/1983",,2,6,152,24,2,12,4,10,394,136,1998,160,,384,,2,444,,14,1596,86,2,238,238,,2,8,,,,,,
"01/1984",,2,,104,10,,14,6,4,276,106,1530,108,2,246,,6,394,,20,1450,68,,164,206,,2,8,,,,,,
"02/1984",,2,2,98,18,,18,,2,274,98,1562,118,2,248,,4,362,,10,1292,88,,168,234,,,,,,,,,
"03/1984",,6,,96,18,,22,,8,332,128,1772,110,,288,,2,400,,18,1510,80,,208,300,,2,4,,,,,,
"04/1984",,6,2,100,10,,22,,6,358,126,1672,108,2,336,4,6,370,,16,1456,72,,196,308,,,2,,,,,,
"05/1984",,2,2,92,14,4,30,2,18,348,120,1850,136,2,296,2,2,440,,20,1790,80,,264,500,,8,2,,,,,,
"06/1984",,6,6,126,16,2,28,2,18,382,146,2012,98,2,348,,,486,,10,1818,74,2,298,558,,4,6,,,,,,
"07/1984",,2,2,96,18,,28,,8,342,168,2086,112,,370,2,4,502,,24,1874,104,,280,568,,,2,,,,,,
"08/1984",,4,,136,20,,26,,14,390,140,2092,114,2,358,,2,540,,28,1766,102,4,246,638,,6,4,,,,,,
"09/1984",,4,4,120,16,2,34,2,10,362,142,2178,120,,376,,6,476,,22,1784,92,,268,578,,6,10,,,,,,
"10/1984",,2,,118,14,,24,10,8,420,116,2126,142,,394,,4,524,,16,1808,102,,244,398,,,4,,,,,,
"11/1984",,,,98,16,,30,,4,382,124,2036,108,,424,,6,452,,14,1888,74,,250,268,,,4,,,,,,
"12/1984",,2,2,108,28,4,10,,12,410,134,2016,144,,350,,2,476,,24,1780,90,,264,360,,4,,,,,,,
"01/1985",,,6,100,14,2,20,2,2,354,122,1652,110,,294,2,4,370,,14,1438,116,,226,176,,4,2,,,,,,
"02/1985",,4,,82,14,,24,2,4,338,100,1552,86,2,228,,6,328,,20,1334,52,,208,220,,4,4,,,,,,
"03/1985",,2,4,88,22,,18,,6,384,108,1796,92,,344,2,2,398,,16,1398,78,,232,374,,,8,,,,,,
"04/1985",,,,90,14,,32,4,6,300,136,1884,122,,348,,8,444,,2,1574,82,,156,494,,2,,,,,,,
"05/1985",,4,6,110,18,,26,2,10,330,162,2020,142,,380,2,10,460,,10,1762,88,,246,590,,6,10,,,,,,
"06/1985",,2,4,78,12,2,32,,6,372,156,2208,114,2,428,6,4,420,,20,1762,80,,306,620,,,2,,,,,,
"07/1985",,2,,90,16,,28,4,20,406,102,2118,98,2,374,2,8,494,,16,1700,116,2,276,692,,2,10,,,,,,
"08/1985",,,6,110,24,2,38,4,16,428,138,2170,116,4,382,2,,496,,16,1892,112,2,300,588,,2,2,,,,,,
"09/1985",,2,,68,12,,22,,8,362,112,2068,102,,328,,,422,,14,1878,118,2,288,488,,6,8,,,,,,
"10/1985",,,,90,14,,44,,12,396,148,2108,134,,392,,2,428,,28,1824,110,,238,428,,4,,,,,,,
"11/1985",,4,,114,12,,28,6,4,384,106,2074,128,2,388,,6,476,,20,1860,104,,260,308,,2,,,,,,,
"12/1985",,2,4,70,18,2,24,2,,392,130,1916,126,,384,,4,476,,14,1754,68,2,228,238,,,,,,,,,
"01/1986",,,,66,8,2,22,,4,324,98,1776,78,,378,,4,390,,10,1444,74,,252,226,,2,2,,,,,,
"02/1986",,,,68,10,,20,,4,280,108,1544,98,,250,,2,338,,12,1306,74,,200,218,,,2,,,,,,
"03/1986",,2,,66,16,,16,,4,412,112,1798,116,,356,,8,430,,6,1564,94,,234,354,,,4,,,,,,
"04/1986",,,,74,28,,34,,8,380,118,1914,140,2,326,,,416,,16,1646,106,,228,406,,6,2,,,,,,
"05/1986",,4,4,92,18,,42,2,12,462,140,2090,158,,402,2,10,478,,20,1900,108,,256,536,,,2,,,,,,
"06/1986",,,4,100,20,,28,4,12,408,134,2144,138,,432,,8,506,,16,1944,92,,280,598,,,10,,,,,,
"07/1986",,4,2,102,24,2,38,,12,374,144,2180,148,,434,,2,538,,18,1906,128,,246,704,,,,,,,,,
"08/1986",,6,2,72,28,4,20,2,14,476,176,2426,142,6,472,,4,578,,18,2046,118,,326,636,,2,6,,,,,,
"09/1986",,,6,104,20,2,34,,10,382,164,2086,148,2,366,,6,490,,16,1746,98,2,280,488,,2,4,,,,,,
"10/1986",,4,2,82,20,,32,4,4,394,138,2190,174,2,428,,,574,,10,1908,70,,290,386,,4,2,,,,,,
"11/1986",,6,2,72,18,2,34,,,434,144,2102,142,,434,,,564,,8,1786,80,,274,384,,2,6,,,,,,
"12/1986",,2,6,72,10,2,20,,6,388,170,2042,156,,400,,4,526,,10,1810,90,,278,314,,2,2,,,,,,
"01/1987",,,,64,20,,34,2,2,350,102,1712,110,2,410,,2,438,,8,1474,82,2,248,238,,4,2,,,,,,
"02/1987",,,,60,18,,20,,6,304,106,1624,144,,324,,2,354,,8,1420,82,,218,244,,,2,,,,,,
"03/1987",,4,2,64,14,,20,2,4,358,106,1824,102,2,398,,,446,,6,1470,94,,200,338,,2,6,,,,,,
"04/1987",,2,4,46,24,2,32,,,352,160,1902,110,4,404,,,428,,12,1518,56,,218,412,,,2,,,,,,
"05/1987",,2,6,60,24,2,40,2,2,394,168,2022,148,2,462,2,2,480,,24,1774,82,,234,584,,2,6,,,,,,
"06/1987",,2,6,74,22,,36,2,14,398,144,2144,132,2,416,2,4,530,,24,1822,102,,266,574,,,2,,,,,,
"07/1987",,2,,78,14,,26,4,14,402,140,2090,138,4,406,,6,576,,10,1932,94,,310,612,,,2,,,,,,
"08/1987",,4,2,66,22,,42,2,8,422,150,2456,130,,536,4,,534,,12,2168,118,,350,596,,,14,,,,,,
"09/1987",,6,,56,20,2,48,,16,416,132,2204,150,2,448,,6,490,,10,1912,114,,282,514,,4,2,,,,,,
"10/1987",,2,,80,34,2,38,4,4,486,172,2390,156,,442,,4,602,,12,2120,98,,288,484,,,6,,,,,,
"11/1987",,,4,52,14,,46,,2,440,160,2266,146,,442,2,2,492,,12,1988,108,,266,350,,2,,,,,,,
"12/1987",,2,4,48,14,,28,4,4,438,152,2168,160,,430,,4,560,,16,1960,118,2,284,338,,,8,,,,,,
"01/1988",,,,52,22,,28,,4,298,126,1728,128,,402,,2,430,,4,1544,88,,216,214,,,6,,,,,,
"02/1988",,4,,50,22,,34,,,310,124,1664,124,,346,,,368,,2,1378,112,,266,274,,2,,,,,,,
"03/1988",,2,,52,16,2,42,4,,350,130,1804,140,2,394,,2,434,,6,1740,130,2,258,348,,,8,,,,,,
